"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2019년 05월 03일","5,766.8","5,493.6","5,844.2","5,478.7","1.04M","4.97%"
"2019년 05월 02일","5,493.8","5,384.6","5,530.8","5,370.0","722.23K","2.04%"
"2019년 05월 01일","5,384.2","5,321.1","5,396.3","5,319.5","623.64K","1.19%"
"2019년 04월 30일","5,320.8","5,235.4","5,336.6","5,195.9","697.42K","1.64%"
"2019년 04월 29일","5,235.0","5,302.4","5,322.9","5,188.9","775.82K","-1.27%"
"2019년 04월 28일","5,302.3","5,265.7","5,332.5","5,234.4","681.41K","0.69%"
"2019년 04월 27일","5,265.9","5,298.2","5,318.1","5,225.4","833.13K","-0.61%"
"2019년 04월 26일","5,298.3","5,209.2","5,469.3","5,159.3","1.03M","1.71%"
"2019년 04월 25일","5,209.1","5,415.6","5,528.2","5,137.4","955.36K","-3.81%"
"2019년 04월 24일","5,415.6","5,511.2","5,589.6","5,346.8","994.04K","-1.74%"
"2019년 04월 23일","5,511.6","5,346.5","5,594.4","5,291.4","900.00K","3.08%"
"2019년 04월 22일","5,346.7","5,248.2","5,370.2","5,170.2","920.77K","1.97%"
"2019년 04월 21일","5,243.5","5,290.2","5,308.2","5,189.8","811.41K","-0.88%"
"2019년 04월 20일","5,290.2","5,241.0","5,327.0","5,240.2","782.32K","0.94%"
"2019년 04월 19일","5,241.0","5,264.8","5,282.4","5,192.1","787.09K","-0.45%"
"2019년 04월 18일","5,264.7","5,208.3","5,293.1","5,205.0","727.97K","1.08%"
"2019년 04월 17일","5,208.3","5,182.1","5,230.9","5,165.5","806.52K","0.53%"
"2019년 04월 16일","5,180.9","5,031.4","5,198.4","5,014.4","631.05K","2.95%"
"2019년 04월 15일","5,032.3","5,135.1","5,168.0","4,964.2","688.20K","-2.00%"
"2019년 04월 14일","5,134.8","5,052.0","5,153.5","5,010.7","566.38K","1.64%"
"2019년 04월 13일","5,051.8","5,054.2","5,093.4","5,011.6","577.16K","-0.05%"
"2019년 04월 12일","5,054.2","5,022.7","5,080.5","4,889.2","779.14K","0.63%"
"2019년 04월 11일","5,022.6","5,307.7","5,337.0","4,948.0","943.49K","-5.37%"
"2019년 04월 10일","5,307.8","5,158.4","5,404.1","5,142.9","837.51K","2.89%"
"2019년 04월 09일","5,158.4","5,245.0","5,245.9","5,095.2","784.62K","-1.65%"
"2019년 04월 08일","5,245.2","5,173.5","5,300.6","5,060.5","928.23K","1.38%"
"2019년 04월 07일","5,173.6","5,046.1","5,219.5","5,033.7","841.27K","2.53%"
"2019년 04월 06일","5,046.2","5,010.0","5,198.4","4,947.9","952.18K","0.72%"
"2019년 04월 05일","5,010.2","4,902.5","5,029.4","4,888.3","851.72K","2.20%"
"2019년 04월 04일","4,902.4","4,968.7","5,042.5","4,789.2","1.05M","-1.33%"
"2019년 04월 03일","4,968.7","4,859.3","5,278.4","4,814.0","13.83M","2.25%"
"2019년 04월 02일","4,859.3","4,145.1","4,899.6","4,143.5","14.77M","17.23%"
"2019년 04월 01일","4,145.1","4,102.3","4,159.1","4,076.8","3.22M","1.04%"
"2019년 03월 31일","4,102.3","4,111.8","4,121.9","4,082.2","2.43M","-0.23%"
"2019년 03월 30일","4,111.8","4,103.7","4,138.1","4,057.1","2.55M","0.23%"
"2019년 03월 29일","4,102.2","4,025.7","4,123.1","4,022.6","3.30M","1.90%"
"2019년 03월 28일","4,025.6","4,041.7","4,041.7","4,008.4","2.11M","-0.40%"
"2019년 03월 27일","4,041.7","3,942.8","4,043.3","3,936.2","2.78M","2.51%"
"2019년 03월 26일","3,942.8","3,937.1","3,950.7","3,899.9","2.53M","0.15%"
"2019년 03월 25일","3,937.0","3,994.8","4,000.5","3,897.9","2.86M","-1.44%"
"2019년 03월 24일","3,994.7","4,002.6","4,005.7","3,967.0","2.04M","-0.20%"
"2019년 03월 23일","4,002.5","3,990.4","4,018.2","3,980.8","2.00M","0.30%"
"2019년 03월 22일","3,990.4","3,982.2","4,005.7","3,971.8","2.83M","0.21%"
"2019년 03월 21일","3,982.2","4,041.2","4,064.0","3,923.8","3.88M","-1.46%"
"2019년 03월 20일","4,041.2","4,017.0","4,050.0","3,985.3","3.18M","0.60%"
"2019년 03월 19일","4,017.0","3,990.2","4,029.9","3,972.4","2.99M","0.67%"
"2019년 03월 18일","3,990.2","3,981.5","4,032.3","3,958.5","2.62M","0.22%"
"2019년 03월 17일","3,981.5","4,006.4","4,009.8","3,956.3","1.87M","-0.62%"
"2019년 03월 16일","4,006.4","3,924.4","4,050.6","3,923.7","3.46M","2.09%"
"2019년 03월 15일","3,924.3","3,879.0","3,935.7","3,874.8","3.11M","1.17%"
"2019년 03월 14일","3,879.0","3,865.1","3,914.7","3,828.4","2.86M","0.36%"
"2019년 03월 13일","3,865.1","3,885.9","3,894.7","3,847.4","2.28M","-0.54%"
"2019년 03월 12일","3,886.0","3,870.3","3,900.1","3,817.1","2.90M","0.41%"
"2019년 03월 11일","3,870.3","3,915.2","3,935.5","3,842.4","3.19M","-1.15%"
"2019년 03월 10일","3,915.2","3,944.4","3,944.5","3,889.2","1.89M","-0.74%"
"2019년 03월 09일","3,944.3","3,865.6","3,964.0","3,859.7","2.48M","2.03%"
"2019년 03월 08일","3,865.9","3,875.1","3,929.0","3,810.7","2.96M","-0.24%"
"2019년 03월 07일","3,875.1","3,863.1","3,907.4","3,847.9","2.60M","0.32%"
"2019년 03월 06일","3,863.0","3,857.2","3,887.3","3,816.7","2.52M","0.15%"
"2019년 03월 05일","3,857.2","3,715.9","3,873.2","3,705.7","3.82M","3.80%"
"2019년 03월 04일","3,715.9","3,809.7","3,828.4","3,681.8","2.85M","-2.45%"
"2019년 03월 03일","3,809.5","3,823.2","3,836.6","3,789.7","1.51M","-0.36%"
"2019년 03월 02일","3,823.1","3,821.9","3,843.2","3,783.6","1.61M","0.03%"
"2019년 03월 01일","3,821.9","3,816.7","3,855.8","3,816.4","1.74M","0.14%"
"2019년 02월 28일","3,816.6","3,814.6","3,883.7","3,783.3","2.31M","0.05%"
"2019년 02월 27일","3,814.6","3,810.3","3,836.4","3,701.9","2.82M","0.11%"
"2019년 02월 26일","3,810.3","3,833.5","3,845.5","3,775.0","2.09M","-0.61%"
"2019년 02월 25일","3,833.7","3,755.7","3,870.7","3,753.8","765.87K","2.09%"
"2019년 02월 24일","3,755.2","4,120.5","4,194.2","3,738.7","977.78K","-8.86%"
"2019년 02월 23일","4,120.4","3,965.2","4,152.6","3,939.4","727.85K","3.91%"
"2019년 02월 22일","3,965.2","3,937.4","3,983.1","3,931.7","649.55K","0.73%"
"2019년 02월 21일","3,936.6","3,972.0","4,011.5","3,909.2","668.16K","-0.90%"
"2019년 02월 20일","3,972.4","3,914.3","3,983.6","3,881.2","698.01K","1.48%"
"2019년 02월 19일","3,914.3","3,896.4","3,993.8","3,863.7","1.44M","0.47%"
"2019년 02월 18일","3,896.0","3,664.2","3,903.7","3,655.1","933.15K","6.33%"
"2019년 02월 17일","3,664.2","3,616.8","3,689.9","3,607.9","580.51K","1.31%"
"2019년 02월 16일","3,616.8","3,604.7","3,641.9","3,599.7","485.63K","0.34%"
"2019년 02월 15일","3,604.7","3,592.6","3,648.3","3,581.4","516.21K","0.34%"
"2019년 02월 14일","3,592.6","3,611.5","3,624.5","3,580.2","498.14K","-0.52%"
"2019년 02월 13일","3,611.5","3,632.0","3,663.5","3,599.2","558.02K","-0.56%"
"2019년 02월 12일","3,632.0","3,631.8","3,656.4","3,594.4","545.82K","0.01%"
"2019년 02월 11일","3,631.8","3,678.8","3,681.1","3,623.8","517.28K","-1.28%"
"2019년 02월 10일","3,679.0","3,661.0","3,680.6","3,617.1","501.90K","0.48%"
"2019년 02월 09일","3,661.4","3,661.6","3,675.3","3,633.2","454.80K","-0.01%"
"2019년 02월 08일","3,661.7","3,397.3","3,721.1","3,382.5","699.23K","7.77%"
"2019년 02월 07일","3,397.7","3,404.9","3,421.8","3,390.3","471.36K","-0.20%"
"2019년 02월 06일","3,404.3","3,468.5","3,478.0","3,383.9","514.21K","-1.85%"
"2019년 02월 05일","3,468.4","3,463.0","3,485.9","3,450.3","460.95K","0.16%"
"2019년 02월 04일","3,462.8","3,459.0","3,479.7","3,437.1","503.92K","0.11%"
"2019년 02월 03일","3,459.1","3,502.3","3,507.8","3,431.3","451.66K","-1.24%"
"2019년 02월 02일","3,502.5","3,467.9","3,514.5","3,447.8","443.60K","1.00%"
"2019년 02월 01일","3,467.9","3,437.7","3,485.7","3,415.3","481.58K","0.90%"
"2019년 01월 31일","3,437.2","3,460.0","3,484.7","3,427.0","477.07K","-0.66%"
"2019년 01월 30일","3,460.0","3,414.6","3,479.0","3,394.2","600.25K","1.32%"
"2019년 01월 29일","3,414.8","3,442.8","3,450.1","3,368.2","585.46K","-0.81%"
"2019년 01월 28일","3,442.8","3,555.8","3,561.2","3,395.7","620.85K","-3.17%"
"2019년 01월 27일","3,555.6","3,570.9","3,583.2","3,509.2","464.02K","-0.43%"
"2019년 01월 26일","3,570.9","3,572.0","3,652.5","3,556.1","432.55K","-0.03%"
"2019년 01월 25일","3,572.0","3,574.3","3,582.6","3,542.2","448.89K","-0.06%"
"2019년 01월 24일","3,574.3","3,561.4","3,587.0","3,539.7","428.60K","0.36%"
"2019년 01월 23일","3,561.5","3,580.1","3,608.3","3,532.8","445.87K","-0.52%"
"2019년 01월 22일","3,580.1","3,536.9","3,607.9","3,465.2","447.70K","1.23%"
"2019년 01월 21일","3,536.7","3,542.7","3,561.4","3,505.4","394.17K","-0.16%"
"2019년 01월 20일","3,542.3","3,676.2","3,699.1","3,503.9","563.31K","-3.68%"
"2019년 01월 19일","3,677.8","3,605.8","3,715.2","3,604.1","537.06K","2.00%"
"2019년 01월 18일","3,605.6","3,626.3","3,627.9","3,575.7","488.16K","-0.57%"
"2019년 01월 17일","3,626.4","3,588.1","3,636.7","3,554.8","525.10K","1.07%"
"2019년 01월 16일","3,588.0","3,570.6","3,644.1","3,561.4","487.34K","0.47%"
"2019년 01월 15일","3,571.3","3,637.5","3,660.8","3,545.7","544.85K","-1.84%"
"2019년 01월 14일","3,638.1","3,490.4","3,672.0","3,490.4","539.93K","4.24%"
"2019년 01월 13일","3,490.2","3,597.3","3,617.6","3,473.2","452.79K","-2.98%"
"2019년 01월 12일","3,597.2","3,616.6","3,633.9","3,561.3","435.06K","-0.53%"
"2019년 01월 11일","3,616.5","3,603.3","3,655.7","3,563.1","551.64K","0.35%"
"2019년 01월 10일","3,603.7","3,978.9","4,007.7","3,562.1","697.31K","-9.41%"
